,coal,natural gas,other,hydro
20191010T22Z,229,301,4,0
20191010T21Z,225,301,4,0
20191010T20Z,228,300,4,0
20191010T19Z,227,286,4,0
20191010T18Z,226,193,4,0
20191010T17Z,207,128,4,0
20191010T16Z,169,128,4,0
20191010T15Z,137,128,4,0
20191010T14Z,137,129,4,0
20191010T13Z,136,128,4,0
20191010T12Z,137,117,4,0
20191010T11Z,135,95,4,0
20191010T10Z,138,94,4,0
20191010T09Z,136,93,4,0
20191010T08Z,137,112,4,0
20191010T07Z,137,94,4,0
20191010T06Z,138,117,4,0
20191010T05Z,137,251,4,0
20191010T04Z,138,265,4,0
20191010T03Z,136,289,4,0
20191010T02Z,173,311,4,0
20191010T01Z,224,304,4,0
20191010T00Z,200,301,4,0
20191009T23Z,228,303,4,0
20191009T22Z,226,300,4,0
20191009T21Z,228,314,4,0
20191009T20Z,225,369,4,0
20191009T19Z,225,310,4,0
20191009T18Z,227,287,4,0
20191009T17Z,228,122,4,0
20191009T16Z,220,130,4,0
20191009T15Z,149,130,4,0
20191009T14Z,140,130,4,0
20191009T13Z,139,128,4,0
20191009T12Z,139,128,4,0
20191009T11Z,137,128,4,0
20191009T10Z,139,128,4,0
20191009T09Z,139,128,4,0
20191009T08Z,140,127,4,0
20191009T07Z,140,183,4,0
20191009T06Z,138,243,4,0
20191009T05Z,187,276,4,0
20191009T04Z,229,276,4,0
20191009T03Z,225,288,4,0
20191009T02Z,224,298,4,0
20191009T01Z,225,302,4,0
20191009T00Z,224,300,4,0
20191008T23Z,226,299,4,0
20191008T22Z,222,300,4,0
20191008T21Z,223,299,4,0
20191008T20Z,226,299,4,0
20191008T19Z,224,300,4,0
20191008T18Z,224,299,4,0
20191008T17Z,226,280,4,0
20191008T16Z,216,136,4,0
20191008T15Z,195,126,4,0
20191008T14Z,159,127,4,0
20191008T13Z,136,127,4,0
